function_name|parameter_name|reporting_level|check_if_exists|Value_BRA|Value_ITA|Value_TZA|Problem|Action
get_country_all_inds|agb_max_c_mg_prot|CL|agb_max_c_mg_prot|238.1630244|169.51919|130.2971808|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_max_c_mg_total|CL|agb_max_c_mg_total|241.8625495|201.5044744|130.2971808|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_max_c_mg_unprot|CL|agb_max_c_mg_unprot|241.8625495|201.5044744|128.3392383|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_mean_c_mg_prot|CL|agb_mean_c_mg_prot|118.6866864|30.94587973|18.70004147|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_mean_c_mg_total|CL|agb_mean_c_mg_total|40.68488232|17.68028747|14.13860158|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_mean_c_mg_unprot|CL|agb_mean_c_mg_unprot|36.37267412|17.30420924|13.79183834|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_min_c_mg_prot|CL|agb_min_c_mg_prot|0|0|0|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_min_c_mg_total|CL|agb_min_c_mg_total|0|0|0|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_min_c_mg_unprot|CL|agb_min_c_mg_unprot|0|0|0|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|agb_stdev_c_mg_prot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|agb_stdev_c_mg_total|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|agb_stdev_c_mg_unprot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|agb_tot_c_pg_prot|CL|agb_tot_c_pg_prot|28.92069767|0.295272619|0.738204821||
get_country_all_inds|agb_tot_c_pg_total|CL|agb_tot_c_pg_total|54.9523061|0.935468737|1.518705129||
get_country_all_inds|agb_tot_c_pg_unprot|CL|agb_tot_c_pg_unprot|26.03160843|0.640196118|0.780500308||
get_country_all_inds|area_mar_km2|C|area_mar_km2|3674472.132|536284.7114|241684.8328||
get_country_all_inds|area_mar_perc|C|area_mar_perc|30.243|64.008|20.446||
get_country_all_inds|area_prot_km2|C|area_prot_km2|3544204.94|117621.57|367246.9455||
get_country_all_inds|area_prot_mar_km2|C|area_prot_mar_km2|979078.306|52815.15828|6614.740433||
get_country_all_inds|area_prot_mar_perc|C|area_prot_mar_perc|26.645|9.848|2.737||
get_country_all_inds|area_prot_perc|C|area_prot_perc|29.171|14.039|31.068||
get_country_all_inds|area_prot_terr_km2|C|area_prot_terr_km2|2565126.634|64806.41173|360632.205||
get_country_all_inds|area_prot_terr_perc|C|area_prot_terr_perc|30.266|21.491|38.35||
get_country_all_inds|area_terr_km2|C|area_terr_km2|8475381.183|301556.3116|940381.4254||
get_country_all_inds|area_terr_perc|C|area_terr_perc|69.757|35.992|79.554||
get_country_all_inds|area_tot_km2|C|area_tot_km2|12149853.32|837841.023|1182066.258||
get_country_all_inds|bgb_max_c_mg_prot|CL|bgb_max_c_mg_prot|181.672589|67.24728197|69.0380585|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_max_c_mg_total|CL|bgb_max_c_mg_total|229.251138|78.68075175|69.0380585|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_max_c_mg_unprot|CL|bgb_max_c_mg_unprot|229.251138|78.68075175|68.06321524|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_mean_c_mg_prot|CL|bgb_mean_c_mg_prot|26.45058565|11.88207395|5.513690305|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_mean_c_mg_total|CL|bgb_mean_c_mg_total|9.717647654|6.593988302|4.235491064|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_mean_c_mg_unprot|CL|bgb_mean_c_mg_unprot|8.792593248|6.444071594|4.138321635|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_min_c_mg_prot|CL|bgb_min_c_mg_prot|0|0|0|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_min_c_mg_total|CL|bgb_min_c_mg_total|0|0|0|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_min_c_mg_unprot|CL|bgb_min_c_mg_unprot|0|0|0|data differ for about a 100 factor from DOPA40 data|check aggregation
get_country_all_inds|bgb_stdev_c_mg_prot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|bgb_stdev_c_mg_total|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|bgb_stdev_c_mg_unprot|CL|#N/A|#N/A|#N/A|#N/A|missing field|nothing
get_country_all_inds|bgb_tot_c_pg_prot|CL|bgb_tot_c_pg_prot|6.472418735|0.112970606|0.220292641||
get_country_all_inds|bgb_tot_c_pg_total|CL|bgb_tot_c_pg_total|12.61299667|0.347969583|0.460913559||
get_country_all_inds|bgb_tot_c_pg_unprot|CL|bgb_tot_c_pg_unprot|6.140577936|0.234998977|0.240620918||
get_country_all_inds|carbon_max_c_mg_prot|CL|carbon_max_c_mg_prot|32116.71929|24462.30071|27606.88506||
get_country_all_inds|carbon_max_c_mg_total|CL|carbon_max_c_mg_total|33108.53179|38022.12059|27606.88506||
get_country_all_inds|carbon_max_c_mg_unprot|CL|carbon_max_c_mg_unprot|33108.53179|38022.12059|23466.26535||
get_country_all_inds|carbon_mean_c_mg_prot|CL|carbon_mean_c_mg_prot|15435.25718|7664.703005|5636.60178||
get_country_all_inds|carbon_mean_c_mg_total|CL|carbon_mean_c_mg_total|10177.76636|5865.2187|5021.319761||
get_country_all_inds|carbon_mean_c_mg_unprot|CL|carbon_mean_c_mg_unprot|7896.251807|5375.120911|4638.666204||
get_country_all_inds|carbon_min_c_mg_prot|CL|carbon_min_c_mg_prot|0|0|0||
